token,状态,产品系列/类型,依据,移动行数,处理时间,备注
EL7213A,done,执行器,官网检索结果+关键词语义,1,2026-07-05T00:05:00,batch-12
SX100E,done,过程控制器,官网检索结果+关键词语义,2,2026-07-05T00:05:00,batch-12
SX25,done,过程控制器,官网检索结果+关键词语义,3,2026-07-05T00:05:00,batch-12
FT10,done,疏水阀,官网检索结果：FT10 float thermostatic steam trap,2,2026-07-05T00:15:00,batch-13
R16C,done,监测器,文档检索：Spiratec steam trap monitor,1,2026-07-05T00:20:00,batch-14
B1X-75,done,疏水阀,"官网安装手册：1/2” B1X-75, 125, 180",1,2026-07-05T00:30:00,batch-15
LCV2,done,止回阀,官网检索结果：LCV2 check valve,1,2026-07-05T00:35:00,batch-16
BCR3250,done,排污控制器,官方/本地文档：BCR3250 blowdown controller,1,2026-07-05T00:45:00,batch-17
LC1300,done,液位控制器,本地安装手册：LC1300 level controller,2,2026-07-05T00:45:00,batch-17
CP40,done,电导率感应器,本地安装手册：CP40 conductivity sensor,1,2026-07-05T00:45:00,batch-17
LC2610,done,液位控制器,官网/本地文档：LC2610 level controller,3,2026-07-05T00:45:00,batch-17
LP21,done,液位感应器,本地文档：LP21 level probe,1,2026-07-05T00:45:00,batch-17
EL5600,done,执行器,本地文档：EL5600 series actuator,1,2026-07-05T00:55:00,batch-18
EL5601,done,执行器,本地文档：EL5600 series actuator,1,2026-07-05T00:55:00,batch-18
EL5611,done,执行器,本地文档：EL5600 series actuator,1,2026-07-05T00:55:00,batch-18
EL5614,done,执行器,本地文档：EL5600 series actuator,1,2026-07-05T00:55:00,batch-18
EL5621,done,执行器,本地文档：EL5600 series actuator,1,2026-07-05T00:55:00,batch-18
BPT13A,done,疏水阀,本地产品资料/安装手册：BPT13 thermostatic steam trap variants,1,2026-07-05T01:05:00,batch-19
BPT13AX,done,疏水阀,本地产品资料/安装手册：BPT13 thermostatic steam trap variants,1,2026-07-05T01:05:00,batch-19
UP100,done,监测器,官网检索结果：steam trap tester / monitor,1,2026-07-05T01:10:00,batch-20
CS10,done,汽水分离器,本地文档：CS10 clean steam separator,1,2026-07-05T01:20:00,batch-21
DM13,done,电磁阀,本地文档：DM solenoid valve,1,2026-07-05T01:20:00,batch-21
DM21,done,电磁阀,本地文档：DM solenoid valve,1,2026-07-05T01:20:00,batch-21
KEA43,done,控制阀,本地文档：Spira-trol control valve,2,2026-07-05T01:20:00,batch-21
KEA73,done,控制阀,本地文档：Spira-trol control valve,2,2026-07-05T01:20:00,batch-21
LE31,done,控制阀,本地文档：Spira-trol control valve,1,2026-07-05T01:20:00,batch-21
LEA33,done,控制阀,本地文档：Spira-trol control valve,1,2026-07-05T01:20:00,batch-21
QL33D,done,控制阀,本地文档：QLD three-way control valve,2,2026-07-05T01:20:00,batch-21
F50C,done,截止阀,本地文档：F50C globe valve,1,2026-07-05T01:20:00,batch-21
13WS,done,自动排空气阀,官网搜索+本地语义：13WS air vent / air eliminator for liquid systems,5,2026-07-05T01:45:00,batch-22
13W,done,自动排空气阀,官网搜索+本地语义：13W air vent / air eliminator for liquid systems,4,2026-07-05T01:45:00,batch-22
25PAG,done,减压阀,官网搜索+本地语义：25PAG pilot operated pressure regulator,1,2026-07-05T01:45:00,batch-22
25PA,done,减压阀,官网搜索+本地语义：25PA pilot operated pressure regulator,2,2026-07-05T01:45:00,batch-22
25PE,done,减压阀,官网搜索+本地语义：25PE pilot operated pressure regulator,2,2026-07-05T01:45:00,batch-22
25MP,done,减压阀,官网搜索+本地语义：25MP direct operated pressure regulator,2,2026-07-05T01:45:00,batch-22
BEA51,done,控制阀,官网搜索+本地语义：B series control valve / BEA51,2,2026-07-05T01:45:00,batch-22
SV901,done,安全阀,官网搜索+本地语义：SV901 safety relief valve,2,2026-07-05T01:45:00,batch-22
VS206,done,排空气阀,官网搜索：VS206 vent head / air vent,1,2026-07-05T02:00:00,batch-23
VLM30,done,流量计,官网搜索：VLM30 vortex flowmeter,1,2026-07-05T02:00:00,batch-23
TD120,done,疏水阀,官网搜索：TD120 thermodynamic steam trap,1,2026-07-05T02:00:00,batch-23
BCS3,done,排污控制系统,官网搜索+本地文档：BCS3 blowdown control system,1,2026-07-05T02:00:00,batch-23
CA10,done,疏水阀,官网搜索：CA10 air and gas trap,1,2026-07-05T02:00:00,batch-23
UTM10,done,流量计,官网搜索：UTM10 ultrasonic flowmeter,1,2026-07-05T02:10:00,batch-24
BBV43,done,排污阀,官网文档：boiler blowdown valve,1,2026-07-05T02:25:00,batch-25
BVA300,done,执行器,官网文档：pneumatic actuator,1,2026-07-05T02:25:00,batch-25
DEP7B6,done,溢流阀,官网文档+本地文档：DEP7 excess pressure valve variant,1,2026-07-05T02:25:00,batch-25
MS100,done,流量计算机,官网文档：steam and condensate measurement computer,2,2026-07-05T02:25:00,batch-25
TYP20,done,空气加湿器,官网搜索：air humidifier / steam injection humidifier,2,2026-07-05T02:40:00,batch-26
T250,done,疏水阀,官网文档：Balanced Pressure Thermostatic Steam Trap T250,1,2026-07-05T03:00:00,batch-27
RTA-125,done,疏水阀,官网文档：Balanced Pressure Thermostatic Steam Traps RTA-125,1,2026-07-05T03:00:00,batch-27
HV3,done,截止阀,官网产品页+技术文档：HV3 Stop Valve,1,2026-07-05T03:15:00,batch-28
OT15,done,冷凝水回收装置,官网PDF：OT/CTL/CTH Kondensatrückspeiseanlagen（condensate return unit）,2,2026-07-05T03:25:00,batch-29
BP22,done,疏水阀,官网产品页：Balanced Pressure Steam Traps BP22,1,2026-07-05T03:35:00,batch-30
DRV7B,done,减压阀,官网检索结果：DRV7 direct acting pressure reducing valve，按变体归并 DRV7B,2,2026-07-05T04:10:00,batch-31
BRV7-B,done,减压阀,官网检索结果：BRV7 direct acting pressure reducing valve，按变体归并 BRV7-B,1,2026-07-05T04:10:00,batch-31
BPW32,done,疏水阀,官网检索结果：Balanced Pressure Waste Water Steam Trap BPW32,1,2026-07-05T04:10:00,batch-31
FA-150,done,疏水阀,官网检索结果：Stainless Steel Float Drain Trap FA-150,2,2026-07-05T04:10:00,batch-31
FA450,done,疏水阀,官网检索结果：Float Drain Trap FA450,1,2026-07-05T04:10:00,batch-31
FT1410,done,疏水阀,官网检索结果：FT1410 float steam trap,2,2026-07-05T04:10:00,batch-31
FT144.5,done,疏水阀,官网检索结果：Float steam trap FT144.5,2,2026-07-05T04:10:00,batch-31
HL100,done,保护装置,官网检索结果：HL100+ electronic programmable limiter,1,2026-07-05T04:35:00,batch-32
AE30LV,done,自动排空气阀,官网检索结果：AE30LV liquid system automatic air vent,1,2026-07-05T04:35:00,batch-32
EL3512SE,done,执行器,官网文档检索结果：EL3500 series electric actuator，型号命中 EL3512SE,1,2026-07-05T04:50:00,batch-33
PT100,done,温度传感器,本地资料库/官网型号语义确认：按产品型号族归类,4,2026-07-05T00:33:17,batch-34
BRV25,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,2,2026-07-05T00:33:17,batch-34
FT-185,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,2,2026-07-05T00:33:17,batch-34
FT144,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,2,2026-07-05T00:33:17,batch-34
FT4310,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,2,2026-07-05T00:33:17,batch-34
FT55,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,2,2026-07-05T00:33:17,batch-34
AEL51211JX,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
AEL62211JX,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
AEL62213,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
AEL63213FX,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
AEL63231JS,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
AEL64221JS,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
AHL1,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
B1HS,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,3,2026-07-05T00:33:17,batch-34
B1HS-125,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
B1HS-250,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
B3-30,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
B3-75,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
B3S,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BC-3200,done,排污控制器,本地资料库/官网型号语义确认：按产品型号族归类,3,2026-07-05T00:33:17,batch-34
BC3050,done,排污控制器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BC3100,done,排污控制器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BC3200,done,排污控制器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BCV31,done,控制阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BCV41,done,控制阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BCV43DN20,done,控制阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BH-75,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BLU-800-2000-6000,done,洁净蒸汽发生器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BMA51,done,控制阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BPS32CV,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BPT1,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BRV-25,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,3,2026-07-05T00:33:17,batch-34
BT16,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BT16B,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BTS2,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BVA325S,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BVA340,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BX2,done,控制阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
BX6,done,控制阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
CA46S21,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
DM582A,done,电磁阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
DP143E,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
DP17E,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
DP17R,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
DP17S,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
DP23,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
DP25,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
DP610,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
DPY27Y,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
DRV2S,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
DRV3,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
F34,done,过滤器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
F50,done,截止阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FC50,done,截止阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FIG33,done,过滤器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT-150,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT-200,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,4,2026-07-05T00:33:17,batch-34
FT-30,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT-44V,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT1-125,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT1414,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT145,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT14C,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT17,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT20,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT200,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT2075,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT3221,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT43H-10,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT43V,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT461,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,2,2026-07-05T00:33:17,batch-34
FT461-4HTB,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT57,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FT57H,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FTB-125,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FTB-200,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,2,2026-07-05T00:33:17,batch-34
FTB17597,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FTB200,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FTSG14,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FV50,done,闪蒸罐,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
FV8,done,闪蒸罐,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
IRV-2,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,2,2026-07-05T00:33:17,batch-34
IRV2,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
KE31,done,控制阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
KE71,done,控制阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
LC1000,done,液位控制器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
LC1130,done,液位控制器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
LCS1000,done,液位控制器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
LCV4,done,止回阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
LE3,done,控制阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
LEA63,done,控制阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
LL33,done,控制阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
M10HI2,done,球阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
M10TI,done,球阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
M10V,done,球阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
M10V2,done,球阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
M10V2RB,done,球阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
M10VI,done,球阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
M10VI4,done,球阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
M33F2,done,球阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
M40I,done,球阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
M40S,done,球阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
M60G,done,球阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
M60V,done,球阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
MST21H,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
PF5,done,角阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
PF51,done,角阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
PF63G,done,角阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
PN1000,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
PN3000,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
PN3232,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
PN3326,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
PN3436,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
PN9100,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
PN9337E,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
PN933OE,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
PN9420,done,执行器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
QL43D,done,控制阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
RV12,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
RV2C,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SA8,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SBP30,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SF1,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SF2,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SRV6,done,减压阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
ST14,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
ST17,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
STGS14,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
STS13,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
STS17,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SV56,done,安全阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SV5601,done,安全阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SV5708,done,安全阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SV604,done,安全阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SV606,done,安全阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SV69L,done,安全阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SV74XN,done,安全阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SV80,done,安全阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SX100-1,done,过程控制器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SX2000,done,过程控制器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SX40,done,过程控制器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
SX95,done,过程控制器,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
TD43L,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
TF14,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
TH25,done,疏水阀,本地资料库/官网型号语义确认：按产品型号族归类,1,2026-07-05T00:33:17,batch-34
